,dv,dph,dpg,dqg,dpl,dql
PM,0.0,0.0,0.0,0.0,0.0,0.0
REBF,0.2503105732244255,0.5349306762026543,0.12747238698886204,0.02361929375244889,67.86507643833363,0.023619297064057597
Meta,0.2639094942445047,0.038855212929033746,0.14383816384374593,0.027039181474493166,77.23262034610661,0.02703918080255309
